correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Aureliano;;;;;"(letterina A) l'imperatore da cui prese il nome la citta' di Orleans";;;
Amleto;;;;;"(Letterina A) l'opera di Shakespeare nella quale i protagonisti muoiono quasi contemporaneamente";;;
Aida;;;;;"(letterina A) l'opera di Verdi composta per l'inaugurazione dell'Opera del Cairo";;;
"Abbey Road";;;;;"(Letterina A) l'ultimo album dei beatles";;;
Ambrosia;;;;;"(Letterina A) la bevanda degli dei dell'Olimpo";;;
Ande;;;;;"(Letterina A) la catena montuosa percorsa dalla linea ferroviaria piu' alta del mondo";;;
Amsterdam;;;;;"(letterina A) la citta' in cui si trova il Dam";;;
Acqui;;;;;"(Letterina A) la citta' in cui si trova la cosiddetta Fontana miracolosa, con acqua minerale a 75 gradi";;;
Assuan;;;;;"(Letterina A) la diga che in Egitto ha permesso di strappare 800.000 ettari al deserto";;;
Anastasia;;;;;"(letterina A) la figlia dello zar Nicola II che scampo' alla morte nel corso della rivoluzione russa";;;
Andrews;;;;;"(Letterina A) la Julie protagonista di Mary Poppins";;;
Agave;;;;;"(Letterina A) La pianta dalla quale si ricava la tequila";;;
Ancora;;;;;"(Letterina A) la porta tatuata Braccio di Ferro";;;
Alcazar;;;;;"(letterina A) la reggia dei re mori a Siviglia";;;
"Actor's Studio";;;;;"(Letterina A) la scuola nella quale si sono formati Marlon Brando e Robert De Niro";;;
Atletica;;;;;"(Letterina A) lo sport che deve il suo nome alla parola greca che significa 'combattimento'";;;
Automobilismo;;;;;"(Letterina A) lo sport in cui Emerson Fittipaldi e' stato campione del mondo";;;
Abolizionisti;;;;;"(Letterina A) negli Stati Uniti erano gli oppositori della schiavitu'";;;
Amigdala;;;;;"(Letterina A) parola che significa 'a forma di mandorla'";;;
Aruspici;;;;;"(Letterina A) prevedevano il futuro studiando le viscere degli animali";;;
anaerobico;;;;;"(letterina A) processo che si svolge in assenza di ossigeno";;;
Abelardo;;;;;"(Letterina A) scambio' lettere d'amore con Eloisa";;;
Amarone;;;;;"(Letterina A) tipo di vino rosso del Veneto";;;
adenoidi;;;;;"(letterina A) tonsille faringee";;;
Argentina;;;;;"(Letterina A) vi fu catturato Adolf Eichmann";;;
Aspromonte;;;;;"(Letterina A) vi provengono i pastori del romanzo del 1930 di Corrado Alvaro";;;
Australia;;;;;"(Letterina A) vi si trova il deserto di Simpson";;;
Antartide;;;;;"(Letterina A) vi si trova il mare di Ross";;;
Bianco;;;;;"(Letterina B) e' il colore del lutto nei paesi musulmani";;;
Bardotto;;;;;"(Letterina B) e' il risultato dell'incrocio tra un cavallo e un asina";;;
Brasile;;;;;"(letterina B) e' la quinta nazione piu' grande del mondo";;;
Beretta;;;;;"(Letterina B) hanno cominciato vendendo archibugi alla Serenissima e finito col vendere pistole all'FBI";;;
Bridge;;;;;"(letterina B) il campionato del mondo vinto dal 'blue team' italiano";;;
Bacco;;;;;"(letterina B) il dio del vino per i romani";;;
bianca;;;;;"(Letterina B) il film in cui Moretti (brrr) dice 'Come si fa a dormire con una donna con cui si e' fatto l'amore?'";;;
Buridano;;;;;"(Letterina B) il filosofo al quale si associa un asino morto di fame perche' incerto tra due cibi";;;
Bordin;;;;;"(Letterina B) il Gelindo primo italiano a vincere una maratona olimpica";;;
Bettega;;;;;"(Letterina B) il giocatore di calcio italiano che ha militato a fine carriera nei Toronto Blizzards";;;
Badminton;;;;;"(letterina B) il gioco con le racchette apparso in Inghilterra verso il 1860";;;
"Beach Boys";;;;;"(Letterina B) il gruppo formato dai fratelli Wilson nel 1961";;;
Baltico;;;;;"(Letterina B) il Mare che separa Riga da Stoccolma";;;
Bongiorno;;;;;"(Letterina B) il Mike che disse a una concorrente 'Ahi, ahi, signora Longari, mi e' caduta sull'uccello'";;;
Bongiorno;;;;;"(Letterina B) il Mike presentatore che fu condannato a morte per spionaggio nel 1944 da un tribunale militare tedesco";;;
Baracca;;;;;"(Letterina B) il pilota che aveva sull'aereo il cavallino rampante simbolo della Ferrari";;;
Barbarossa;;;;;"(Letterina B) il soprannome di Federico I imperatore germanico dal 1152 al 1190";;;
Bolscioi;;;;;"(Letterina B) il teatro del piu' famoso corpo di ballo di danza classica di Mosca";;;
Blueberry;;;;;"(Letterina B) il tenente disertore dell'esercito americano che e' un eroe dei fumetti";;;
Brandt;;;;;"(letterina B) il Willy sindaco di Berlino Ovest che accolse J.F. Kennedy";;;
Bonsai;;;;;"(letterina B) l'albero nano giapponese";;;
Bolena;;;;;"(Letterina B) l'Anna madre di Elisabetta I di Inghilterra";;;
Bouquet;;;;;"(Letterina B) l'aroma di un vino";;;
Boito;;;;;"(Letterina B) l'Arrigo librettista di Giuseppe Verdi che scrisse la musica di un'opera";;;
Boy-Scouts;;;;;"(Letterina B) l'associazione fondata dall'ufficiale britannico Robert Baden-Powell nel 1907";;;
Brando;;;;;"(Letterina B) l'attore che si rifiuto' di ritirare il secondo premio Oscar";;;
Bergman;;;;;"(Letterina B) l'attrice che ha debuttato nel 1938 con Intermezzo";;;
Bonaccorti;;;;;"(Letterina B) l'Enrica che divento' una star televisiva con la trasmissione Pronto, chi gioca?";;;
Bearzot;;;;;"(Letterina B) l'Enzo commissario tecnico della nazionale italiana vincitrice dei mondiali di calcio di spagna nel 1982";;;
Barletta;;;;;"(Letterina B) la 'Disfida' in cui gli italiani furono guidati da Ettore Fieramosca";;;
Baffi;;;;;"(letterina B) la caratteristica facciale di Walt Disney che nessun altro collaboratore era autorizzato ad avere";;;
Brindisi;;;;;"(Letterina B) la citta' dalla quale Vittorio Emanuele III si imbarco' per lasciare definitivamente l'Italia";;;
Bruxelles;;;;;"(Letterina B) la citta' in cui fu organizzata l'esposizione universale del 1958";;;
"Buenos Aires";;;;;"(letterina B) la citta' in cui si trova la Casa Rosada";;;
Bouvier;;;;;"(Letterina B) la Jacqueline che ebbe J.F. Kennedy come primo marito";;;
Bronzo;;;;;"(Letterina B) la lega formata da rame e stagno";;;
Bose';;;;;"(Letterina B) la Lucia protagonista del film di Maselli Gli sbandati";;;
Bianchina;;;;;"(letterina B) la macchina di Fantozzi";;;
Butterfly;;;;;"(Letterina B) La Madama che si suicida con la sciabola del padre";;;
Bose';;;;;"(Letterina B) la Miss Italia che divenne una star del cinema e sposo' un famoso torero";;;
Bergamo;;;;;"(Letterina B) la provincia dove troviamo la casa di Arlecchino";;;
Bauhaus;;;;;"(Letterina B) la scuola tedesca di design e architettura diretta da Walter Gropius";;;
Bob;;;;;"(Letterina B) la slitta munita di volante con la quale si scende lungo piste ghiacciate";;;
Bernadette;;;;;"(Letterina B) la Soubirous a cui la Vergine Maria apparve a Lourdes";;;
Barbare;;;;;"(Letterina B) le 'Odi' del Carducci";;;
Bronte;;;;;"(Letterina B) le sorelle che scrivevano sotto gli pseudonimi di Currer, Ellis e Acton Bell";;;
"Blue Jeans";;;;;"(Letterina B) li invento' Levi-Strauss";;;
Boraciferi;;;;;"(letterina B) lo sono i soffioni di Larderello";;;
Baseball;;;;;"(Letterina B) lo sport americano che e' stato ammesso alle olimpiadi nel 1984";;;
Bhutto;;;;;"(Letterina B) lo Zulfikar Ali' impiccato in Pakistan nel 1979";;;
Bischero;;;;;"(Letterina B) parte di uno strumento a corde";;;
brina;;;;;"(Letterina B) Rugiada congelata";;;
Bolas;;;;;"(Letterina B) sono usate nelle pampas per catturare gli animali";;;
Bonn;;;;;"(Letterina B) vi nacque Ludwig Van Beethoven";;;
Copechi;;;;;"(Letterina C) 100 formano un rublo";;;
Caliga;;;;;"(Letterina C) calzatura degli antichi soldati romani";;;
Carezza;;;;;"(Letterina C) celebre lago dolomitico che in tedesco si chiama Carersee";;;
Cagliari;;;;;"(Letterina C) citta' sarda in cui si celebra la festa di Sant'Efisio";;;
Caravaggio;;;;;"(Letterina C) cosi' era detto il pittore Michelangelo Merisi";;;
Carlomagno;;;;;"(Letterina C) era figlio di Pipino il Breve";;;
Corrado;;;;;"(letterina C) era il conduttore della trasmissione radiofonica Rosso e nero";;;
Citroen;;;;;"(Letterina C) fabbrico' la prima auto a trazione anteriore";;;
Churchill;;;;;"(Letterina C) fu il Primo Ministro del regno di Elisabetta II di Inghilterra";;;
Carlomagno;;;;;"(Letterina C) fu incoronato imperatore nella notte di Natale dell'800";;;
Cleopatra;;;;;"(Letterina C) fu l'ultimo sovrano regnante della stirpe dei Tolomei";;;
Cagliari;;;;;"(letterina C) fu la prima squadra di calcio a sud di Roma a vincere lo scudetto";;;
Cicerone;;;;;"(Letterina C) fu mortale avversario di Catilina";;;
Cartaginesi;;;;;"(Letterina C) furono sconfitti da Caio Duilio a Milazzo nel 260 a.C.";;;
Cana;;;;;"(Letterina C) Gesu' vi compi' il miracolo della trasformazione dell'acqua in vino";;;
Chopin;;;;;"(letterina C) ha composto 50 mazurche, 19 valzer e 14 polacche";;;
Cellini;;;;;"(Letterina C) ha scolpito la statua di Perseo che orna la loggia dei Lanzi a Firenze";;;
Colombo;;;;;"(Letterina C) ha scoperto la Giamaica";;;
Capillari;;;;;"(Letterina C) i piu' piccoli vasi sanguigni";;;
"Castel del Monte";;;;;"(letterina C) il castello a pianta e torrioni ottagonali che Federico II ha lasciato in Puglia";;;
Chaplin;;;;;"(letterina C) il Charlie che ha realizzato L'opinione pubblica nel 1923";;;
Chaplin;;;;;"(letterina C) il Charlie che ha sposato Oona O'Neill";;;
Cervi;;;;;"(Letterina C) il Gino che e' stato Ettore Fieramosca e Peppone";;;
Cervi;;;;;"(Letterina C) il Gino che interpretava Maigret";;;
Cousteau;;;;;"(Letterina C) il Jacques che esplorava le profondita' marine";;;
Clark;;;;;"(letterina C) il Jim corridore soprannominato lo scozzese volante";;;
Chagall;;;;;"(letterina C) il Marc che ha dipinto il soffitto dell'Opera di Parigi";;;
Calderone;;;;;"(Letterina C) il nome del ghiacciaio del Gran Sasso, unico di tutti gli appennini";;;
Canada;;;;;"(Letterina C) il paese che ha l'hockey su ghiaccio come sport nazionale";;;
Cina;;;;;"(Letterina C) il paese del panda gigante";;;
Cecoslovacchia;;;;;"(letterina C) il paese invaso dalle truppe sovietiche nel 1968";;;
Chigi;;;;;"(Letterina C) il palazzo dove ha l'ufficio il primo ministro italiano";;;
"Corriere della Sera";;;;;"(Letterina C) il quotidiano che ha sede in V. Solferino a Milano";;;
Casanova;;;;;"(letterina C) il seduttore per antonomasia";;;
"Carlo V";;;;;"(Letterina C) il sovrano sul cui impero il sole non tramontava mai";;;
Capitale;;;;;"(Letterina C) il suo primo volume e' 'Sviluppo della produzione capitalista'";;;
Cornamusa;;;;;"(letterina C) il tipico strumento musicale degli scozzesi";;;
Ceylon;;;;;"(Letterina C) il vecchio nome dello Sri Lanka";;;
Cianidrico;;;;;"(Letterina C) l'acido che e' detto anche prussico";;;
Circo;;;;;"(Letterina C) l'ammaestratore di pulci ne e' il mestiere piu' faticoso per gli occhi";;;
Cammello;;;;;"(Letterina C) l'animale che forni' aiuto decisivo nelle campagne di Lawrence d'Arabia";;;
Coccodrillo;;;;;"(letterina C) l'animale che si dice abbia rimorsi";;;
Cicala;;;;;"(letterina C) l'animale che si esprime con 7.400 pulsazioni al minuto";;;
"Che Guevara";;;;;"(letterina C) l'Ernesto il cui cadavere fu esposto (brrr) dall'esercito boliviano nel 1967";;;
caracalla;;;;;"(Letterina C) l'imperatore che fece costruire a Roma il piu' famoso stabilimento termale";;;
Canossa;;;;;"(Letterina C) l'imperatore Enrico IV vi imploro' il perdono di Papa Gregorio VII";;;
Capri;;;;;"(Letterina C) l'imperatore Tiberio vi passava abitualmente le vacanze";;;
Cuba;;;;;"(Letterina C) l'isola piu' grande delle Antille";;;
Clouseau;;;;;"(Letterina C) l'ispettore interpretato da Peter Sellers";;;
Cicerone;;;;;"(Letterina C) l'oratore che svento' la congiura di Catilina";;;
"Croce Rossa";;;;;"(Letterina C) l'organizzazione internazionale che ha vinto il solo premio Nobel assegnato durante la Prima Guerra Mondiale";;;
"Cime tempestose";;;;;"(Letterina C) l'unico romanzo di Emily Bronte";;;
Chamberlain;;;;;"(Letterina C) l'uomo politico inglese che firmo' il patto di Monaco";;;
Calva;;;;;"(Letterina C) la 'cantatrice' di Ionesco";;;
"Coca Cola";;;;;"(Letterina C) la bevanda alla quale corrisponde la formula segreta 7x";;;
Catania;;;;;"(Letterina C) la citta' con l'aeroporto Fontana Rossa";;;
Cnosso;;;;;"(letterina C) la citta' cretese scoperta da Sir Arthur Evans";;;
Chaplin;;;;;"(Letterina C) La contessa di Honk Kong e' stato il suo ultimo film";;;
Athletics;;;;;"(Letterina C) la Gigliola che nel 1964 cantava Non ho l'eta'";;;
Cinquetti;;;;;"(Letterina C) la Gigliola che nel 1964 cantava Non ho l'eta'";;;
Chatterley;;;;;"(Letterina C) la Lady che fu l'amante del giardiniere";;;
Carie;;;;;"(Letterina C) la malattia non contagiosa piu' comune al mondo";;;
Curie;;;;;"(Letterina C) la Marie che ha vinto due premi Nobel";;;
Calipso;;;;;"(Letterina C) la ninfa che trattenne Ulisse per 10 anni";;;
Cartagine;;;;;"(Letterina C) la potenza nemica di Roma che disponeva di 5.000 navi";;;
Curie;;;;;"(Letterina C) la prima donna a vincere un premio Nobel";;;
Castelgandolfo;;;;;"(letterina C) la residenza estiva del papa";;;
Chiara;;;;;"(Letterina C) la Santa protettrice di chi lavora in televisione";;;
Cosmos;;;;;"(Letterina C) la squadra statunitense in cui a fine carriera milito' Giorgio Chinaglia";;;
Continenti;;;;;"(Letterina C) li rappresentano i cinque cerchi olimpici";;;
Comune;;;;;"(Letterina C) lo e' la 'gente' per Robert Redford";;;
Cricket;;;;;"(Letterina C) lo sport dal quale deriva il baseball";;;
Calcio;;;;;"(Letterina C) lo sport piu' praticato al mondo";;;
Cipro;;;;;"(letterina C) lo stato con Limassol";;;
Cromosfera;;;;;"(Letterina C) lo strato intermedio dell'atmosfera fra la fotosfera e la corona";;;
"Coca Cola";;;;;"(Letterina C) nel 1886 veniva venduta per 5 cents a bicchiere dal signor Pemberton in una farmacia di Atlanta";;;
Costellazioni;;;;;"(Letterina C) nella nostra galassia ce ne sono 88";;;
caglio;;;;;"(letterina C) si aggiunge al latte per ottenere il formaggio";;;
Cordless;;;;;"(letterina C) telefono senza fili";;;
Clitennestra;;;;;"(Letterina C) uccise Agamennone";;;
Calais;;;;;"(letterina C) una delle due citta' tra le quali si tenta generalmente la traversata della Manica a nuoto";;;
Cantonese;;;;;"(Letterina C) una delle grandi scuole in cui si divide la cucina cinese";;;
Caio;;;;;"(letterina C) uno dei Gracchi";;;
Chicago;;;;;"(Letterina C) vi nacque l'associazione Rotary";;;
Courmayeur;;;;;"(Letterina C) vi si prende la funivia in Italia per ammirare la Mer de Glace";;;
Canada;;;;;"(Letterina C) vi si trova il polo nord magnetico";;;
Camelot;;;;;"(Letterina C) vi si trovava la corte di Re Artu'";;;
Dispepsia;;;;;"(Letterina D) difficolta' di digestione";;;
Domenica;;;;;"(Letterina D) era 'd'agosto' per il regista Luciano Emmer";;;
Dayan;;;;;"(Letterina D) era ministro della difesa israeliano durante la guerra dei sei giorni";;;
Dante;;;;;"(Letterina D) ha scritto la vita nuova";;;
Diamante;;;;;"(Letterina D) il campo del Baseball";;;
"de Mille";;;;;"(letterina D) il Cecil B. che ha diretto una versione muta e una sonora de I dieci comandamenti";;;
Darwin;;;;;"(Letterina D) il Charles che sollevo' uno scandalo con La teoria dell'evoluzione";;;
D;;;;;"(Letterina D) il cognome di 'Umberto' in un film di De Sica";;;
Damocle;;;;;"(Letterina D) il cortigiano di Dionigi il Vecchio al quale fu sospesa una spada sul capo";;;
Dore';;;;;"(Letterina D) il Gustave incisore francese che ha illustrato Don Chisciotte, Divina commedia, Bibbia e l'Orlando furioso";;;
Dunlop;;;;;"(Letterina D) il John che ha inventato il pneumatico";;;
Daguerre;;;;;"(Letterina D) il Luis che scopri' il procedimento di sviluppo delle immagini fotografiche";;;
dieci;;;;;"(Letterina D) il numero di carte che si danno a ciascun giocatore nel tressette";;;
Danimarca;;;;;"(letterina D) il paese il cui territorio e' costituito principalmente dalla penisola dello Jutland";;;
Delon;;;;;"(Letterina D) interpreta un pugile in Rocco e i suoi fratelli";;;
Durer;;;;;"(Letterina D) l'Albrecht pittore tedesco de I quattro apostoli";;;
Delfino;;;;;"(letterina D) l'erede al trono francese";;;
Duncan;;;;;"(Letterina D) l'Isadora che fece scandalo ballando a piedi nudi";;;
Deneuve;;;;;"(Letterina D) la Catherine Bella di giorno";;;
Dum-Dum;;;;;"(Letterina D) la citta' indiana che ha dato il nome a proiettili da fucile";;;
Dietrich;;;;;"(Letterina D) la Marlene 'angelo azzurro'";;;
Dorate;;;;;"(Letterina D) le ali del 'pensiero' di Verdi";;;
dirigibile;;;;;"(letterina D) lo fu l'Hindenburgh";;;
Divorzio;;;;;"(Letterina D) ottenne il voto favorevole del 60% degli italiani il 13 maggio 1974";;;
daga;;;;;"(Letterina D) Spada corta e larga a due tagli";;;
Edipo;;;;;"(Letterina E) Accecato, fu guidato da Antigone";;;
Epifisi;;;;;"(letterina E) altro nome della ghiandola pineale";;;
Eisenhower;;;;;"(Letterina E) comandava le forze armate alleate durante lo sbarco in Normandia";;;
"Elisir di lunga vita";;;;;"(Letterina E) diceva di possederlo il Conte di Saint Germain";;;
Edonismo;;;;;"(Letterina E) dottrina che ha come principio la ricerca del piacere";;;
Emofilia;;;;;"(letterina E) e' la malattia dei re";;;
Eleganza;;;;;"(Letterina E) il campo nel quale dettava legge Lord Brummel";;;
Eschilo;;;;;"(Letterina E) il drammaturgo greco che si dice sia morto colpito da una tartaruga lasciata cadere da un aquila in volo";;;
Ellington;;;;;"(letterina E) il Duke 'duca' del jazz";;;
Ezechiele;;;;;"(Letterina E) il lupo che da la caccia ai tre porcellini";;;
Ewan;;;;;"(Letterina E) Il nome dell'attore McGregor";;;
"Enrico VIII";;;;;"(Letterina E) il padre di Elisabetta I di Inghilterra";;;
Ecuador;;;;;"(letterina E) il paese al quale appartengono le Galapagos";;;
Eldorado;;;;;"(Letterina E) il paese d'oro cercato dai conquistatori spagnoli";;;
Ermitage;;;;;"(Letterina E) il palazzo fatto costruire a Pietroburgo da Caterina II che e' oggi un museo";;;
Elfi;;;;;"(Letterina E) il popolo sul quale regnava Oberon";;;
Einstein;;;;;"(letterina E) l'Albert che disse 'Dio non gioca a dadi'";;;
Esegesi;;;;;"(Letterina E) l'interpretazione di un testo";;;
Evita;;;;;"(letterina E) la commedia musicale dalla quale e' tratta la canzone Don't cry for me Argentina";;;
Euratom;;;;;"(Letterina E) la comunita' europea dell'energia atomica";;;
"banana yoshimoto";;;;;"(Letterina E) la comunita' europea dell'energia atomica";;;
Eucalipto;;;;;"(Letterina E) la pianta delle cui foglie si nutre il koala";;;
Eclittica;;;;;"(Letterina E) la traiettoria apparente del sole in un anno";;;
Equitazione;;;;;"(Letterina E) lo sport al quale appartiene l'espressione 'mezza volta'";;;
Equitazione;;;;;"(Letterina E) lo sport olimpico in cui donne e uomini gareggiano alla pari";;;
Eloisa;;;;;"(Letterina E) scambio' lettere d'amore con Abelardo";;;
Etologia;;;;;"(Letterina E) scienza che studia il comportamento degli animali";;;
"Emirati Arabi Uniti";;;;;"(Letterina E) sono formati da Abu Dhabi, Dubai, Sharjah, Ajman, Umm al Quaiwain, Ras al-Khaimah e Fujayrah";;;
"Enrico II";;;;;"(Letterina E) sposo' Caterina de Medici";;;
Esau';;;;;"(Letterina E) vendette il suo diritto di primogenitura per un piatto di lenticchie";;;
Eton;;;;;"(Letterina E) vi si trova la piu' celebre Public school inglese fondata da Enrico VI";;;
Formica;;;;;"(Letterina F) animale che per la Bibbia e' simbolo di saggezza";;;
Fotodiodo;;;;;"(letterina F) Componente elettronico capace di entrare in conduzione solo se colpito da luce";;;
Fornarina;;;;;"(Letterina F) cosi' era soprannominata la figlia di un panettiere romano amata da Raffaello";;;
"Filippo II";;;;;"(Letterina F) creo' l'Invincibile Armada";;;
Fedra;;;;;"(Letterina F) figlia di Minosse e sorella di Arianna";;;
Fellini;;;;;"(Letterina F) giro' Le notti di Cabiria";;;
"Fossa delle Marianne";;;;;"(Letterina F) ha una profondita' di circa 11.000 m.";;;
Fracassa;;;;;"(Letterina F) il 'Capitan' soprannome del barone di Sigognac";;;
Fosse;;;;;"(Letterina F) il Bob che ha realizzato Cabaret e All that jazz";;;
Faraday;;;;;"(Letterina F) il Michael che ha dato il suo nome a una 'gabbia' e a un 'cilindro'";;;
Falklands;;;;;"(Letterina F) il nome britannico delle Isole Malvine";;;
Filogamo;;;;;"(Letterina F) Il Nunzio che salutava i Cari amici vicini e lontani";;;
Fangio;;;;;"(Letterina F) il pilota argentino che ha vinto 5 titoli mondiali di F1";;;
Fanfani;;;;;"(Letterina F) il primo presidente del consiglio a installarsi a Palazzo Chigi";;;
"Fra Diavolo";;;;;"(Letterina F) il soprannome del bandito Michele Pezza";;;
Flynn;;;;;"(Letterina F) l'Errol che ha interpretato Robin Hood sul grande schermo";;;
Fieramosca;;;;;"(Letterina F) l'Ettore che guido' gli italiani nella Disfida di Barletta";;;
femore;;;;;"(Letterina F) l'osso piu' lungo del corpo umano";;;
Furtiva;;;;;"(Letterina F) la 'lacrima' di Donizetti";;;
fanfara;;;;;"(letterina F) la banda dei bersaglieri";;;
Foglie;;;;;"(letterina F) la parte dell'albero in cui avviene la fotosintesi clorofilliana";;;
Farnesina;;;;;"(letterina F) La sede del Ministero degli Esteri";;;
Ferrari;;;;;"(letterina F) la vettura con la quale Niki Lauda e' stato per due volte campione del mondo";;;
Falsario;;;;;"(Letterina F) lo era Gianni Schicchi, nominato da Dante nel suo Inferno";;;
Fangio;;;;;"(Letterina F) pilota che vinse 4 campionati mondiali consecutivi in F1";;;
"Federico II";;;;;"(Letterina F) re prussiano del XVIII secolo considerato un esempio di 'despota illuminato'";;;
Gordio;;;;;"(Letterina G) Alessandro Magno ne taglio' con la spada l'inestricabile nodo";;;
Gravina;;;;;"(Letterina G) Carla, prima attrice italiana a diventare deputato";;;
Gomorra;;;;;"(Letterina G) Citta' della Palestina che secondo Mose' fu distrutta per i suoi vizi da un incendio";;;
Gatsby;;;;;"(Letterina G) e' 'Grande' nel romanzo di Francis Scott Fitzgerald";;;
Ginevra;;;;;"(letterina G) era la moglie di re Artu' e l'amante di Lancillotto";;;
"Giorgio VI";;;;;"(letterina G) era re di Inghilterra durante la seconda guerra mondiale";;;
Giotto;;;;;"(Letterina G) fece il campanile del duomo di Firenze";;;
Garibaldi;;;;;"(Letterina G) fu definito dal Carducci 'novello Romolo'";;;
Girardengo;;;;;"(Letterina G) fu spodestato da Binda dal trono del ciclismo italiano";;;
Goodyear;;;;;"(Letterina G) ha scoperto la vulcanizzazione del caucciu'";;;
Gable;;;;;"(Letterina G) il Clark di Via col vento";;;
Grimaldi;;;;;"(Letterina G) il cognome da ragazza di Carolina di Monaco";;;
Giano;;;;;"(Letterina G) il dio romano dal quale gennaio prende il nome";;;
Gershwin;;;;;"(letterina G) il George che ha composto Porgy and Bess";;;
Gershwin;;;;;"(Letterina G) il George che ha composto Summertime";;;
Giancattivi;;;;;"(Letterina G) il gruppo del quale faceva parte Francesco Nuti";;;
Gandhi;;;;;"(Letterina G) il leader cremato il 31 gennaio 1948 sulle rive del Gange";;;
Gaye;;;;;"(Letterina G) il Marvin cantante ucciso dal padre a colpi di pistoia";;;
Giovanna;;;;;"(Letterina G) il nome dell'unica donna che, secondo una leggenda medievale, sia stata assunta al soglio pontificio";;;
Gargantua;;;;;"(Letterina G) il padre di Pantagruel";;;
Grecia;;;;;"(Letterina G) il paese dell'ouzo";;;
Goya;;;;;"(Letterina G) il pittore spagnolo che fece 'i capricci'";;;
Giapponese;;;;;"(Letterina G) il popolo che ha un alfabeto di 28.000 simboli";;;
Genesi;;;;;"(Letterina G) il primo libro dell'Antico Testamento";;;
Giona;;;;;"(letterina G) Il profeta ingoiato da una balena";;;
Gallina;;;;;"(Letterina G) il volatile piu' diffuso della terra";;;
Guinness;;;;;"(Letterina G) l'Alec che ha interpretato otto personaggi nel film Sangue blu";;;
Ghepardo;;;;;"(letterina G) l'animale che e'uo' raggiungere i 101 km/h";;;
Gramsci;;;;;"(Letterina G) l'Antonio fondatore del PCI (brrr) sepolto nel cimitero degli inglesi a Roma";;;
Giuliano;;;;;"(Letterina G) L'Apostata che mori' dicendo 'Hai vinto, Galileo'";;;
Giovenale;;;;;"(Letterina G) l'autore del famoso verso latino 'Mens sana in corpore sano'";;;
Gesuiti;;;;;"(Letterina G) l'ordine fondato da Ignazio di Loyola";;;
Grog;;;;;"(Letterina G) la bevanda a base di alcol che ha la fama di curare il raffreddore";;;
Giumenta;;;;;"(Letterina G) la cavalla da sella";;;
Gibilterra;;;;;"(Letterina G) la colonia britannica che e' soprannominata 'la rocca'";;;
Gibilterra;;;;;"(Letterina G) la colonia britannica che ha una superficie di soli 6 km quadrati";;;
